Code postal;Localité;Sous-commune;Commune principale;Province
1470;Baisy-Thy;Oui;GENAPPE;Brabant Wallon
6560;ERQUELINNES;Non;ERQUELINNES;Hainaut
1210;SAINT-JOSSE-TEN-NOODE;Non;SAINT-JOSSE-TEN-NOODE;Bruxelles (19 communes)
5310;Mehaigne;Oui;EGHEZÉE;Namur
9660;Opbrakel;Oui;BRAKEL;Flandre-Orientale
5660;Pétigny;Oui;COUVIN;Namur
2500;Koningshooikt;Oui;LIER;Anvers
5030;Lonzée;Oui;GEMBLOUX;Namur
8750;WINGENE;Non;WINGENE;Flandre-Occidentale
7033;Cuesmes;Oui;MONS;Hainaut
3012;Wilsele;Oui;LEUVEN;Brabant Flamand
2370;ARENDONK;Non;ARENDONK;Anvers
2590;BERLAAR;Non;BERLAAR;Anvers
7711;Dottignies;Oui;MOUSCRON;Hainaut
1040;ETTERBEEK;Non;ETTERBEEK;Bruxelles (19 communes)
5620;Hemptinne-Lez-Florennes;Oui;FLORENNES;Namur
9080;LOCHRISTI;Non;LOCHRISTI;Flandre-Orientale
6661;Tailles;Oui;HOUFFALIZE;Luxembourg
5561;Celles;Oui;HOUYET;Namur
7903;Chapelle-À-Oie;Oui;LEUZE-EN-HAINAUT;Hainaut
1910;Buken;Oui;KAMPENHOUT;Brabant Flamand
4600;Lixhe;Oui;VISÉ;Liège
3790;FOURONS;Non;FOURONS;Limbourg
9772;Wannegem-Lede;Oui;KRUISEM;Flandre-Orientale
4280;Villers-Le-Peuplier;Oui;HANNUT;Liège
4980;Fosse;Oui;TROIS-PONTS;Liège
9230;Massemen;Oui;WETTEREN;Flandre-Orientale
6831;Noirfontaine;Oui;BOUILLON;Luxembourg
6200;Châtelineau;Oui;CHÂTELET;Hainaut
5660;Frasnes;Oui;COUVIN;Namur
1495;Sart-Dames-Avelines;Oui;VILLERS-LA-VILLE;Brabant Wallon
4140;SPRIMONT;Non;SPRIMONT;Liège
5380;Hingeon;Oui;FERNELMONT;Namur
7910;Arc-Ainières;Oui;FRASNES-LEZ-ANVAING;Hainaut
7040;Bougnies;Oui;QUÉVY;Hainaut
1390;Biez;Oui;GREZ-DOICEAU;Brabant Wallon
3831;Herten;Oui;WELLEN;Limbourg
5640;Oret;Oui;METTET;Namur
8840;Westrozebeke;Oui;STADEN;Flandre-Occidentale
3071;Erps-Kwerps;Oui;KORTENBERG;Brabant Flamand
2531;Vremde;Oui;BOECHOUT;Anvers
3300;Hakendover;Oui;TIENEN;Brabant Flamand
2221;Booischot;Oui;HEIST-OP-DEN-BERG;Anvers
4460;Hollogne-Aux-Pierres;Oui;GRÂCE-HOLLOGNE;Liège
6990;HOTTON;Non;HOTTON;Luxembourg
9150;KRUIBEKE;Non;KRUIBEKE;Flandre-Orientale
1325;Longueville;Oui;CHAUMONT-GISTOUX;Brabant Wallon
9800;Zeveren;Oui;DEINZE;Flandre-Orientale
2970;'S Gravenwezel;Oui;SCHILDE;Anvers
7800;ATH;Non;ATH;Hainaut
6238;Liberchies;Oui;PONT-À-CELLES;Hainaut
7830;SILLY;Non;SILLY;Hainaut
5590;Haversin;Oui;CINEY;Namur
3600;GENK;Non;GENK;Limbourg
6640;Nives;Oui;VAUX-SUR-SÛRE;Luxembourg
6500;Barbençon;Oui;BEAUMONT;Hainaut
6840;Grandvoir;Oui;NEUFCHÂTEAU;Luxembourg
9910;Ursel;Oui;AALTER;Flandre-Orientale
7866;Bois-De-Lessines;Oui;LESSINES;Hainaut
4300;Bleret;Oui;WAREMME;Liège
6210;Wayaux;Oui;LES BONS VILLERS;Hainaut
4257;BERLOZ;Non;BERLOZ;Liège
8510;Bellegem;Oui;KORTRIJK;Flandre-Occidentale
4253;Darion;Oui;GEER;Liège
4161;Villers-Aux-Tours;Oui;ANTHISNES;Liège
2200;Noorderwijk;Oui;HERENTALS;Anvers
8710;WIELSBEKE;Non;WIELSBEKE;Flandre-Occidentale
8730;BEERNEM;Non;BEERNEM;Flandre-Occidentale
3404;Neerlanden;Oui;LANDEN;Brabant Flamand
3700;Vreren;Oui;TONGEREN;Limbourg
6941;Bomal-Sur-Ourthe;Oui;DURBUY;Luxembourg
3621;Rekem;Oui;LANAKEN;Limbourg
5670;Vierves-Sur-Viroin;Oui;VIROINVAL;Namur
5600;Jamiolle;Oui;PHILIPPEVILLE;Namur
7134;Leval-Trahegnies;Oui;BINCHE;Hainaut
1047;Parlement Européen;;;
2530;BOECHOUT;Non;BOECHOUT;Anvers
6280;Loverval;Oui;GERPINNES;Hainaut
3500;Sint-Lambrechts-Herk;Oui;HASSELT;Limbourg
5540;Waulsort;Oui;HASTIÈRE;Namur
5600;Samart;Oui;PHILIPPEVILLE;Namur
6760;Ruette;Oui;VIRTON;Luxembourg
6997;Amonines;Oui;EREZÉE;Luxembourg
5380;Bierwart;Oui;FERNELMONT;Namur
3840;Jesseren;Oui;BORGLOON;Limbourg
5010;SA SudPresse;;;
1570;Vollezele;Oui;GALMAARDEN;Brabant Flamand
8377;ZUIENKERKE;Non;ZUIENKERKE;Flandre-Occidentale
6834;Bellevaux;Oui;BOUILLON;Luxembourg
2040;Berendrecht;Oui;ANTWERPEN;Anvers
1046;European External Action Service;;;
3840;Groot-Loon;Oui;BORGLOON;Limbourg
7110;Houdeng-Aimeries;Oui;LA LOUVIÈRE;Hainaut
9112;Sinaai-Waas;Oui;SINT-NIKLAAS;Flandre-Orientale
8573;Tiegem;Oui;ANZEGEM;Flandre-Occidentale
9180;MOERBEKE-WAAS;Non;MOERBEKE-WAAS;Flandre-Orientale
9890;Dikkelvenne;Oui;GAVERE;Flandre-Orientale
7520;Ramegnies-Chin;Oui;TOURNAI;Hainaut
7380;QUIÉVRAIN;Non;QUIÉVRAIN;Hainaut
1050;IXELLES;Non;IXELLES;Bruxelles (19 communes)
8950;Nieuwkerke;Oui;HEUVELLAND;Flandre-Occidentale
6900;Waha;Oui;MARCHE-EN-FAMENNE;Luxembourg
3582;Koersel;Oui;BERINGEN;Limbourg
3000;LEUVEN;Non;LEUVEN;Brabant Flamand
6850;PALISEUL;Non;PALISEUL;Luxembourg
6200;CHÂTELET;Non;CHÂTELET;Hainaut
4983;Basse-Bodeux;Oui;TROIS-PONTS;Liège
4970;Francorchamps;Oui;STAVELOT;Liège
6792;Rachecourt;Oui;AUBANGE;Luxembourg
4624;Romsée;Oui;FLÉRON;Liège
6971;Champlon;Oui;TENNEVILLE;Luxembourg
2930;BRASSCHAAT;Non;BRASSCHAAT;Anvers
8630;Zoutenaaie;Oui;VEURNE;Flandre-Occidentale
3400;Eliksem;Oui;LANDEN;Brabant Flamand
9620;Leeuwergem;Oui;ZOTTEGEM;Flandre-Orientale
6860;Assenois;Oui;LÉGLISE;Luxembourg
7971;Basècles;Oui;BELOEIL;Hainaut
4180;Comblain-La-Tour;Oui;HAMOIR;Liège
9700;OUDENAARDE;Non;OUDENAARDE;Flandre-Orientale
9450;Denderhoutem;Oui;HAALTERT;Flandre-Orientale
8792;Desselgem;Oui;WAREGEM;Flandre-Occidentale
5150;Franière;Oui;FLOREFFE;Namur
9030;Mariakerke;Oui;GENT;Flandre-Orientale
6747;SAINT-LÉGER;Non;SAINT-LÉGER;Luxembourg
2431;Varendonk;Oui;LAAKDAL;Anvers
6960;Harre;Oui;MANHAY;Luxembourg
4350;Pousset;Oui;REMICOURT;Liège
1410;WATERLOO;Non;WATERLOO;Brabant Wallon
1790;Hekelgem;Oui;AFFLIGEM;Brabant Flamand
8480;ICHTEGEM;Non;ICHTEGEM;Flandre-Occidentale
9042;Desteldonk;Oui;GENT;Flandre-Orientale
2275;Gierle;Oui;LILLE;Anvers
3890;Jeuk;Oui;GINGELOM;Limbourg
3700;Riksingen;Oui;TONGEREN;Limbourg
5630;Senzeilles;Oui;CERFONTAINE;Namur
9988;Watervliet;Oui;SINT-LAUREINS;Flandre-Orientale
9170;SINT-GILLIS-WAAS;Non;SINT-GILLIS-WAAS;Flandre-Orientale
8902;Voormezele;Oui;IEPER;Flandre-Occidentale
6791;Athus;Oui;AUBANGE;Luxembourg
8760;MEULEBEKE;Non;MEULEBEKE;Flandre-Occidentale
7600;PÉRUWELZ;Non;PÉRUWELZ;Hainaut
6532;Ragnies;Oui;THUIN;Hainaut
3530;Helchteren;Oui;HOUTHALEN-HELCHTEREN;Limbourg
2560;Kessel;Oui;NIJLEN;Anvers
3890;Montenaken;Oui;GINGELOM;Limbourg
8700;Schuiferskapelle;Oui;TIELT;Flandre-Occidentale
1495;Tilly;Oui;VILLERS-LA-VILLE;Brabant Wallon
3803;Duras;Oui;SINT-TRUIDEN;Limbourg
6720;HABAY;Non;HABAY;Luxembourg
4690;Eben-Emael;Oui;BASSENGE;Liège
4790;Reuland;Oui;BURG-REULAND;Liège
5621;Hanzinelle;Oui;FLORENNES;Namur
9980;SINT-LAUREINS;Non;SINT-LAUREINS;Flandre-Orientale
3790;Fouron-Saint-Martin;Oui;FOURONS;Limbourg
8630;Houtem;Oui;VEURNE;Flandre-Occidentale
8690;ALVERINGEM;Non;ALVERINGEM;Flandre-Occidentale
5300;Coutisse;Oui;ANDENNE;Namur
2450;MEERHOUT;Non;MEERHOUT;Anvers
8620;NIEUWPOORT;Non;NIEUWPOORT;Flandre-Occidentale
6941;Bende;Oui;DURBUY;Luxembourg
1760;ROOSDAAL;Non;ROOSDAAL;Brabant Flamand
6832;Sensenruth;Oui;BOUILLON;Luxembourg
3740;Waltwilder;Oui;BILZEN;Limbourg
5543;Heer;Oui;HASTIÈRE;Namur
7830;Hellebecq;Oui;SILLY;Hainaut
1340;Ottignies;Oui;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon
1440;BRAINE-LE-CHÂTEAU;Non;BRAINE-LE-CHÂTEAU;Brabant Wallon
4650;HERVE;Non;HERVE;Liège
8520;KUURNE;Non;KUURNE;Flandre-Occidentale
6224;Wanfercée-Baulet;Oui;FLEURUS;Hainaut
6470;Rance;Oui;SIVRY-RANCE;Hainaut
7822;Meslin-L'Evêque;Oui;ATH;Hainaut
9630;Beerlegem;Oui;ZWALM;Flandre-Orientale
6640;Sibret;Oui;VAUX-SUR-SÛRE;Luxembourg
6900;MARCHE-EN-FAMENNE;Non;MARCHE-EN-FAMENNE;Luxembourg
8610;KORTEMARK;Non;KORTEMARK;Flandre-Occidentale
3870;Vechmaal;Oui;HEERS;Limbourg
1731;Zellik;Oui;ASSE;Brabant Flamand
9620;ZOTTEGEM;Non;ZOTTEGEM;Flandre-Orientale
5541;Hastière-Par-Delà;Oui;HASTIÈRE;Namur
6730;Saint-Vincent;Oui;TINTIGNY;Luxembourg
5600;Sautour;Oui;PHILIPPEVILLE;Namur
2040;Zandvliet;Oui;ANTWERPEN;Anvers
8920;Langemark;Oui;LANGEMARK-POELKAPELLE;Flandre-Occidentale
3212;Pellenberg;Oui;LUBBEEK;Brabant Flamand
3840;Gotem;Oui;BORGLOON;Limbourg
4608;Neufchâteau;Oui;DALHEM;Liège
1600;SINT-PIETERS-LEEUW;Non;SINT-PIETERS-LEEUW;Brabant Flamand
2940;STABROEK;Non;STABROEK;Anvers
9450;HAALTERT;Non;HAALTERT;Flandre-Orientale
4250;GEER;Non;GEER;Liège
4671;Housse;Oui;BLÉGNY;Liège
6941;Izier;Oui;DURBUY;Luxembourg
5660;Presgaux;Oui;COUVIN;Namur
1755;GOOIK;Non;GOOIK;Brabant Flamand
7170;Fayt-Lez-Manage;Oui;MANAGE;Hainaut
1130;Haren;Oui;BRUXELLES;Bruxelles (19 communes)
8770;INGELMUNSTER;Non;INGELMUNSTER;Flandre-Occidentale
1350;Marilles;Oui;ORP-JAUCHE;Brabant Wallon
6560;Montignies-Saint-Christophe;Oui;ERQUELINNES;Hainaut
4860;Wegnez;Oui;PEPINSTER;Liège
1380;LASNE;Non;LASNE;Brabant Wallon
4631;Evegnée;Oui;SOUMAGNE;Liège
5537;Denée;Oui;ANHÉE;Namur
9420;Ottergem;Oui;ERPE-MERE;Flandre-Orientale
7618;Taintignies;Oui;RUMES;Hainaut
7141;Mont-Sainte-Aldegonde;Oui;MORLANWELZ;Hainaut
8970;POPERINGE;Non;POPERINGE;Flandre-Occidentale
2830;Heindonk;Oui;WILLEBROEK;Anvers
7623;Rongy;Oui;BRUNEHAUT;Hainaut
9667;Sint-Maria-Horebeke;Oui;HOREBEKE;Flandre-Orientale
2910;ESSEN;Non;ESSEN;Anvers
8630;Avekapelle;Oui;VEURNE;Flandre-Occidentale
5640;Biesmerée;Oui;METTET;Namur
3290;DIEST;Non;DIEST;Brabant Flamand
6851;Nollevaux;Oui;PALISEUL;Luxembourg
3800;SINT-TRUIDEN;Non;SINT-TRUIDEN;Limbourg
3390;Tielt;Oui;TIELT-WINGE;Brabant Flamand
8904;Zuidschote;Oui;IEPER;Flandre-Occidentale
3700;Mal;Oui;TONGEREN;Limbourg
3545;Zelem;Oui;HALEN;Limbourg
9520;Oombergen;Oui;SINT-LIEVENS-HOUTEM;Flandre-Orientale
8740;PITTEM;Non;PITTEM;Flandre-Occidentale
5540;Hastière-Lavaux;Oui;HASTIÈRE;Namur
1461;Haut-Ittre;Oui;ITTRE;Brabant Wallon
4690;Boirs;Oui;BASSENGE;Liège
9800;Petegem-Aan-De-Leie;Oui;DEINZE;Flandre-Orientale
1731;Relegem;Oui;ASSE;Brabant Flamand
1600;Sint-Laureins-Berchem;Oui;SINT-PIETERS-LEEUW;Brabant Flamand
9571;Hemelveerdegem;Oui;LIERDE;Flandre-Orientale
1560;HOEILAART;Non;HOEILAART;Brabant Flamand
3630;Mechelen-Aan-De-Maas;Oui;MAASMECHELEN;Limbourg
9660;Nederbrakel;Oui;BRAKEL;Flandre-Orientale
3620;Neerharen;Oui;LANAKEN;Limbourg
6840;Tournay;Oui;NEUFCHÂTEAU;Luxembourg
7512;Yves Rocher;;;
7000;MONS;Non;MONS;Hainaut
7610;RUMES;Non;RUMES;Hainaut
5330;Maillen;Oui;ASSESSE;Namur
7070;Gottignies;Oui;LE ROEULX;Hainaut
8301;Heist-Aan-Zee;Oui;KNOKKE-HEIST;Flandre-Occidentale
8377;Houtave;Oui;ZUIENKERKE;Flandre-Occidentale
3300;Oorbeek;Oui;TIENEN;Brabant Flamand
5660;Petite-Chapelle;Oui;COUVIN;Namur
5660;Cul-Des-Sarts;Oui;COUVIN;Namur
7730;Saint-Léger;Oui;ESTAIMPUIS;Hainaut
3770;RIEMST;Non;RIEMST;Limbourg
6662;Tavigny;Oui;HOUFFALIZE;Luxembourg
3945;HAM;Non;HAM;Limbourg
7950;Ladeuze;Oui;CHIÈVRES;Hainaut
1404;Bornival;Oui;NIVELLES;Brabant Wallon
8930;MENEN;Non;MENEN;Flandre-Occidentale
7120;Croix-Lez-Rouveroy;Oui;ESTINNES;Hainaut
9050;Ledeberg;Oui;GENT;Flandre-Orientale
8800;Rumbeke;Oui;ROESELARE;Flandre-Occidentale
6593;Macquenoise;Oui;MOMIGNIES;Hainaut
7387;Autreppe;Oui;HONNELLES;Hainaut
6900;Aye;Oui;MARCHE-EN-FAMENNE;Luxembourg
6534;Gozée;Oui;THUIN;Hainaut
6470;Sautin;Oui;SIVRY-RANCE;Hainaut
8647;Noordschote;Oui;LO-RENINGE;Flandre-Occidentale
1935;Corporate Village;;;
6141;Forchies-La-Marche;Oui;FONTAINE-L'EVÊQUE;Hainaut
9340;Impe;Oui;LEDE;Flandre-Orientale
9111;Belsele;Oui;SINT-NIKLAAS;Flandre-Orientale
4845;Sart-Lez-Spa;Oui;JALHAY;Liège
3890;GINGELOM;Non;GINGELOM;Limbourg
3010;Kessel Lo;Oui;LEUVEN;Brabant Flamand
2170;Merksem;Oui;ANTWERPEN;Anvers
5380;Noville-Les-Bois;Oui;FERNELMONT;Namur
9930;Zomergem;Oui;LIEVEGEM;Flandre-Orientale
5590;Achêne;Oui;CINEY;Namur
4987;Chevron;Oui;STOUMONT;Liège
3440;Dormaal;Oui;ZOUTLEEUW;Brabant Flamand
1620;DROGENBOS;Non;DROGENBOS;Brabant Flamand
2890;Oppuurs;Oui;PUURS-SINT-AMANDS;Anvers
5310;Saint-Germain;Oui;EGHEZÉE;Namur
7100;Trivières;Oui;LA LOUVIÈRE;Hainaut
4557;Fraiture;Oui;TINLOT;Liège
8647;LO-RENINGE;Non;LO-RENINGE;Flandre-Occidentale
5070;Sart-Saint-Laurent;Oui;FOSSES-LA-VILLE;Namur
9290;Uitbergen;Oui;BERLARE;Flandre-Orientale
3191;Hever;Oui;BOORTMEERBEEK;Brabant Flamand
7640;ANTOING;Non;ANTOING;Hainaut
9630;Meilegem;Oui;ZWALM;Flandre-Orientale
3581;Beverlo;Oui;BERINGEN;Limbourg
9160;Daknam;Oui;LOKEREN;Flandre-Orientale
3722;Wintershoven;Oui;KORTESSEM;Limbourg
6987;Marcourt;Oui;RENDEUX;Luxembourg
3370;Neervelp;Oui;BOUTERSEM;Brabant Flamand
7040;Quévy-Le-Grand;Oui;QUÉVY;Hainaut
8511;Aalbeke;Oui;KORTRIJK;Flandre-Occidentale
2321;Meer;Oui;HOOGSTRATEN;Anvers
3620;Veldwezelt;Oui;LANAKEN;Limbourg
